# Election: 2024 Presidential Primary (2024-04-23) - Election ID: 105 - Lancaster County
# Report generated on: 2026-05-28T23:53:45
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2024 Presidential Primary,LANCASTER,Delegate to Democratic National Convention,11th Congressional District,Democratic,IZZY SMITH-WADE-EL,"25,394",0,0,"14,219",0,0,"11,076",0,0,99,0,0
2024 Presidential Primary,LANCASTER,Delegate to Democratic National Convention,11th Congressional District,Democratic,DANENE SORACE,"24,548",0,0,"13,517",0,0,"10,938",0,0,93,0,0
2024 Presidential Primary,LANCASTER,Delegate to Democratic National Convention,11th Congressional District,Democratic,TOM O'BRIEN,"24,182",0,0,"13,365",0,0,"10,720",0,0,97,0,0
2024 Presidential Primary,LANCASTER,Delegate to Democratic National Convention,11th Congressional District,Democratic,EFREM MAGTAGNOB,"22,758",0,0,"12,505",0,0,"10,168",0,0,85,0,0
2024 Presidential Primary,LANCASTER,Delegate to Republican National Convention,11th Congressional District,Republican,MIKE JONES,"35,104",0,0,"29,454",0,0,"5,579",0,0,71,0,0
2024 Presidential Primary,LANCASTER,Delegate to Republican National Convention,11th Congressional District,Republican,LLOYD K SMUCKER,"45,618",0,0,"39,528",0,0,"5,994",0,0,96,0,0
2024 Presidential Primary,LANCASTER,Delegate to Republican National Convention,11th Congressional District,Republican,S KIRK RADANOVIC,"31,622",0,0,"26,349",0,0,"5,215",0,0,58,0,0
2024 Presidential Primary,LANCASTER,Alt Delegate to Republican National Convention,11th Congressional District,Republican,SHARON L OGILVIE,"35,034",0,0,"29,466",0,0,"5,498",0,0,70,0,0
2024 Presidential Primary,LANCASTER,Alt Delegate to Republican National Convention,11th Congressional District,Republican,BRYANT J GLICK,"38,932",0,0,"33,244",0,0,"5,611",0,0,77,0,0
2024 Presidential Primary,LANCASTER,Alt Delegate to Republican National Convention,11th Congressional District,Republican,JENNA I GEESEY,"35,579",0,0,"29,886",0,0,"5,624",0,0,69,0,0
