# Election: 2014 General Election (2014-11-04) - Election ID: 41 - Lancaster County
# Report generated on: 2026-05-29T02:03:01
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2014 General Election,LANCASTER,Governor,Statewide,Republican,,"83,179",0,0,,,,,,,,,
2014 General Election,LANCASTER,Governor,Statewide,Democratic,,"57,594",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in Congress,7th Congressional District,Republican,,"4,171",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in Congress,7th Congressional District,Democratic,,"1,176",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in Congress,16th Congressional District,Republican,,"82,793",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in Congress,16th Congressional District,Democratic,,"51,814",0,0,,,,,,,,,
2014 General Election,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,,"54,058",0,0,,,,,,,,,
2014 General Election,LANCASTER,Senator in the General Assembly,36th Senatorial District,Democratic,,"20,686",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Republican,,516,0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Democratic,,246,0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,,"14,078",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,,"4,081",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,,"13,196",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,,"9,020",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,,"12,412",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Democratic,,"5,061",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,,"8,029",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,,"14,746",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,,"8,117",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,,"10,869",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,,"4,376",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Green,,593,0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,,"9,974",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Democratic,,"4,014",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,,"11,138",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,128th Legislative District,Republican,,"1,525",0,0,,,,,,,,,
2014 General Election,LANCASTER,Representative in the General Assembly,129th Legislative District,Republican,,"2,533",0,0,,,,,,,,,
