# Election: 2026 General Primary (2026-05-19) - Election ID: 117 - Lancaster County
# Report generated on: 2026-05-21T03:01:39
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2026 General Primary,LANCASTER,Governor,Statewide,Democratic,JOSH SHAPIRO,"30,914",0,0,"17,438",0,0,"13,476",0,0,0,0,0
2026 General Primary,LANCASTER,Governor,Statewide,Republican,STACY GARRITY,"37,620",0,0,"31,672",0,0,"5,948",0,0,0,0,0
2026 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,AUSTIN DAVIS,"30,663",0,0,"17,268",0,0,"13,395",0,0,0,0,0
2026 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,JOHN VENTRE,"9,903",0,0,"8,197",0,0,"1,706",0,0,0,0,0
2026 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,JASON RICHEY,"29,085",0,0,"24,593",0,0,"4,492",0,0,0,0,0
2026 General Primary,LANCASTER,Representative in Congress,11th Congressional District,Democratic,NANCY MANNION,"30,729",0,0,"17,337",0,0,"13,392",0,0,0,0,0
2026 General Primary,LANCASTER,Representative in Congress,11th Congressional District,Republican,LLOYD K SMUCKER,"39,251",0,0,"33,354",0,0,"5,897",0,0,0,0,0
2026 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Democratic,JAMES ANDREW MALONE,"17,524",0,0,"9,734",0,0,"7,790",0,0,0,0,0
2026 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,TOM JONES,"19,055",0,0,"16,118",0,0,"2,937",0,0,0,0,0
2026 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,JERE SWARR,"4,636",0,0,"3,493",0,0,"1,143",0,0,0,0,0
2026 General Primary,LANCASTER,Senator in the General Assembly,48th Senatorial District,Republican,CLOVIS CRANE,985,0,0,870,0,0,115,0,0,0,0,0
2026 General Primary,LANCASTER,Senator in the General Assembly,48th Senatorial District,Republican,CHRIS GEBHARD,"2,607",0,0,"2,302",0,0,305,0,0,0,0,0
2026 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,CHAD GLEISSL,"3,967",0,0,"1,954",0,0,"2,013",0,0,0,0,0
2026 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"6,585",0,0,"5,471",0,0,"1,114",0,0,0,0,0
