# Election: 2015 Municipal Primary (2015-05-19) - Election ID: 43 - Lancaster County
# Report generated on: 2026-05-29T02:01:58
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"3,359",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"4,443",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"4,806",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"1,403",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"5,283",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,,"1,386",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"4,666",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"13,542",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"5,975",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"14,150",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"5,195",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,,"11,868",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,,"5,767",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,,"1,636",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,,"18,428",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,,"5,316",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,,"2,239",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,,"18,765",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic,,"6,772",0,0,,,,,,,,,
2015 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,,"19,421",0,0,,,,,,,,,
