# Election: 2020 Presidential Election (2020-11-03) - Election ID: 83 - Lancaster County
# Report generated on: 2026-05-29T00:45:36
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2020 Presidential Election,LANCASTER,President of the United States,Statewide,Democratic,JOSEPH R BIDEN,"115,847",0,0,"51,178",0,0,"62,503",0,0,"2,166",0,0
2020 Presidential Election,LANCASTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"160,209",0,0,"132,043",0,0,"25,509",0,0,"2,657",0,0
2020 Presidential Election,LANCASTER,President of the United States,Statewide,Libertarian,JO JORGENSEN,"4,183",0,0,"2,932",0,0,"1,172",0,0,79,0,0
2020 Presidential Election,LANCASTER,Attorney General,Statewide,Democratic,JOSH SHAPIRO,"109,568",0,0,"49,216",0,0,"58,318",0,0,"2,034",0,0
2020 Presidential Election,LANCASTER,State Treasurer,Statewide,Democratic,JOE TORSELLA,"101,861",0,0,"44,862",0,0,"55,104",0,0,"1,895",0,0
2020 Presidential Election,LANCASTER,Auditor General,Statewide,Democratic,NINA AHMAD,"101,116",0,0,"44,171",0,0,"55,040",0,0,"1,905",0,0
2020 Presidential Election,LANCASTER,Attorney General,Statewide,Republican,HEATHER HEIDELBAUGH,"159,165",0,0,"128,506",0,0,"28,157",0,0,"2,502",0,0
2020 Presidential Election,LANCASTER,State Treasurer,Statewide,Republican,STACY L GARRITY,"163,477",0,0,"130,837",0,0,"30,074",0,0,"2,566",0,0
2020 Presidential Election,LANCASTER,Auditor General,Statewide,Republican,TIMOTHY DEFOOR,"162,741",0,0,"130,275",0,0,"29,938",0,0,"2,528",0,0
2020 Presidential Election,LANCASTER,Attorney General,Statewide,Libertarian,DANIEL WASSMER,"5,414",0,0,"3,975",0,0,"1,308",0,0,131,0,0
2020 Presidential Election,LANCASTER,Auditor General,Statewide,Libertarian,JENNIFER MOORE,"8,543",0,0,"6,231",0,0,"2,098",0,0,214,0,0
2020 Presidential Election,LANCASTER,State Treasurer,Statewide,Libertarian,JOE SOLOSKI,"6,229",0,0,"4,487",0,0,"1,596",0,0,146,0,0
2020 Presidential Election,LANCASTER,Attorney General,Statewide,Green,RICHARD L WEISS,"2,394",0,0,"1,436",0,0,896,0,0,62,0,0
2020 Presidential Election,LANCASTER,Auditor General,Statewide,Green,OLIVIA FAISON,"2,746",0,0,"1,629",0,0,"1,052",0,0,65,0,0
2020 Presidential Election,LANCASTER,State Treasurer,Statewide,Green,TIMOTHY RUNKLE,"3,292",0,0,"1,880",0,0,"1,323",0,0,89,0,0
2020 Presidential Election,LANCASTER,Representative in Congress,11th Congressional District,Democratic,SARAH E HAMMOND,"109,807",0,0,"48,547",0,0,"59,200",0,0,"2,060",0,0
2020 Presidential Election,LANCASTER,Representative in Congress,11th Congressional District,Republican,LLOYD K. SMUCKER,"167,477",0,0,"135,347",0,0,"29,444",0,0,"2,686",0,0
2020 Presidential Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Democratic,JANET DIAZ,"58,524",0,0,"26,352",0,0,"30,893",0,0,"1,279",0,0
2020 Presidential Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Republican,SCOTT MARTIN,"73,371",0,0,"57,589",0,0,"14,578",0,0,"1,204",0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Democratic,RICHARD RUGGIERI,452,0,0,256,0,0,193,0,0,3,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Republican,JOHN LAWRENCE,"1,225",0,0,"1,049",0,0,160,0,0,16,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,JOHN PADORA,"9,579",0,0,"4,243",0,0,"5,197",0,0,139,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"25,783",0,0,"21,117",0,0,"4,333",0,0,333,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,MICHELE WHERLEY,"16,912",0,0,"6,948",0,0,"9,705",0,0,259,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,BRETT R MILLER,"23,230",0,0,"18,034",0,0,"4,879",0,0,317,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,KEITH J GREINER,"27,324",0,0,"19,290",0,0,"7,587",0,0,447,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,MIKE STURLA,"20,880",0,0,"11,606",0,0,"8,744",0,0,530,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,DANA HAMP GULICK,"18,466",0,0,"7,276",0,0,"10,907",0,0,283,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,STEVE MENTZER,"24,352",0,0,"17,717",0,0,"6,245",0,0,390,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,BILL TROUTMAN,"10,513",0,0,"5,178",0,0,"5,154",0,0,181,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,DAVID S. HICKERNELL,"20,343",0,0,"16,331",0,0,"3,723",0,0,289,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Democratic,RICK HODGE,"7,680",0,0,"3,375",0,0,"4,173",0,0,132,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,DAVE ZIMMERMAN,"21,187",0,0,"17,482",0,0,"3,341",0,0,364,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,BRYAN D CUTLER,"24,315",0,0,"18,839",0,0,"5,076",0,0,400,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,128th Legislative District,Republican,MARK M GILLEN,"3,126",0,0,"2,478",0,0,618,0,0,30,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,129th Legislative District,Democratic,KELLY MCDONOUGH,"1,842",0,0,903,0,0,908,0,0,31,0,0
2020 Presidential Election,LANCASTER,Representative in the General Assembly,129th Legislative District,Republican,JIM COX,"4,722",0,0,"4,047",0,0,626,0,0,49,0,0
