# Election: 2025 Municipal Election (2025-11-04) - Election ID: 111 - Lancaster County
# Report generated on: 2026-05-21T03:06:46
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2025 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,CHRISTINE DONOHUE,0,"80,080","69,963",0,"57,108","62,504",0,"22,561","7,314",0,411,145
2025 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,DAVID WECHT,0,"79,210","69,845",0,"56,447","62,290",0,"22,366","7,403",0,397,152
2025 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,KEVIN M DOUGHERTY,0,"79,778","69,928",0,"56,910","62,417",0,"22,462","7,361",0,406,150
2025 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,ALICE BECK DUBOW,0,"77,963","66,180",0,"56,203","58,612",0,"21,382","7,423",0,378,145
2025 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,BRANDON NEUMAN,"73,130",0,0,"50,855",0,0,"21,871",0,0,404,0,0
2025 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,MARIA BATTISTA,"77,158",0,0,"68,825",0,0,"8,174",0,0,159,0,0
2025 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Liberal,DANIEL WASSMER,"1,988",0,0,"1,546",0,0,432,0,0,10,0,0
2025 Municipal Election,LANCASTER,Judge of the Commonwealth Court (Retention),Statewide,,MICHAEL H WOJCIK,0,"78,552","65,633",0,"56,786","58,040",0,"21,384","7,445",0,382,148
2025 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,STELLA TSAI,"73,706",0,0,"51,302",0,0,"21,988",0,0,416,0,0
2025 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,MATT WOLFORD,"78,484",0,0,"69,847",0,0,"8,481",0,0,156,0,0
2025 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,DENNIS E REINAKER,0,"87,007","54,377",0,"71,634","41,143",0,"15,045","13,053",0,328,181
2025 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,THOMAS BOYD SPONAUGLE,0,"90,555","50,384",0,"74,045","38,463",0,"16,160","11,763",0,350,158
