# Election: 2025 Municipal Primary (2025-05-20) - Election ID: 111 - Lancaster County
# Report generated on: 2026-05-28T23:53:21
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2025 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,BRANDON NEUMAN,"24,714",0,0,"14,464",0,0,"10,167",0,0,83,0,0
2025 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,MARIA BATTISTA,"8,861",0,0,"7,490",0,0,"1,364",0,0,7,0,0
2025 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,ANN MARIE WHEATCRAFT,"24,093",0,0,"19,022",0,0,"5,015",0,0,56,0,0
2025 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,STELLA TSAI,"24,690",0,0,"14,487",0,0,"10,121",0,0,82,0,0
2025 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,MATT WOLFORD,"21,359",0,0,"17,081",0,0,"4,236",0,0,42,0,0
2025 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,JOSH PRINCE,"11,525",0,0,"9,380",0,0,"2,124",0,0,21,0,0
