# Election: 2012 General Primary (2012-04-24) - Election ID: 27 - Lancaster County
# Report generated on: 2026-05-29T02:06:02
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2012 General Primary,LANCASTER,President of the United States,StateWide,Republican,,"5,423",0,0,,,,,,,,,
2012 General Primary,LANCASTER,President of the United States,StateWide,Republican,,"6,398",0,0,,,,,,,,,
2012 General Primary,LANCASTER,President of the United States,StateWide,Republican,,"7,474",0,0,,,,,,,,,
2012 General Primary,LANCASTER,President of the United States,StateWide,Republican,,"23,879",0,0,,,,,,,,,
2012 General Primary,LANCASTER,President of the United States,StateWide,Democratic,,"10,140",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Republican,,"1,600",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Republican,,"2,098",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Republican,,"10,337",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Republican,,"11,023",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Republican,,"16,522",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Democratic,,"1,449",0,0,,,,,,,,,
2012 General Primary,LANCASTER,United States Senator,StateWide,Democratic,,"9,498",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Attorney General,StateWide,Republican,,"37,893",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Attorney General,StateWide,Democratic,,"5,056",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Attorney General,StateWide,Democratic,,"6,000",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Auditor General,StateWide,Republican,,"14,584",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Auditor General,StateWide,Republican,,"24,000",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Auditor General,StateWide,Democratic,,"10,168",0,0,,,,,,,,,
2012 General Primary,LANCASTER,State Treasurer,StateWide,Republican,,"36,931",0,0,,,,,,,,,
2012 General Primary,LANCASTER,State Treasurer,StateWide,Democratic,,"10,242",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in Congress,7th Congressional District,Republican,,"1,601",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in Congress,7th Congressional District,Democratic,,238,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in Congress,16th Congressional District,Republican,,"36,826",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in Congress,16th Congressional District,Democratic,,"9,766",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Senator in the General Assembly,13th Senatorial District,Republican,,"14,486",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Senator in the General Assembly,13th Senatorial District,Democratic,,"5,143",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,,522,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,,"2,515",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,,"4,271",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,,"1,079",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,,"5,668",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,,"5,534",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,43rd Legislative District,Democratic,,"1,298",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,96th Legislative District,Republican,,"1,331",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,,"1,589",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,,"6,533",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,,"4,462",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,,"4,774",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,,"4,644",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,360,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,405,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,486,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,570,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,692,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,891,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,930,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,7th Congressional District,Republican,,"1,000",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"3,029",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"5,764",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"6,077",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"6,668",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"7,421",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"13,882",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"14,883",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"15,032",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Republican National Convention,16th Congressional District,Republican,,"27,760",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,172,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,180,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,183,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,187,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,189,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,199,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,200,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,203,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,7th Congressional District,Democratic,,210,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,16th Congressional District,Democratic,,"8,000",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,16th Congressional District,Democratic,,"8,162",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,16th Congressional District,Democratic,,"8,702",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,16th Congressional District,Democratic,,"8,826",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,16th Congressional District,Democratic,,"8,903",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Delegate to the Democratic National Convention,16th Congressional District,Democratic,,"8,958",0,0,,,,,,,,,
2012 General Primary,LANCASTER,Alternate Delegate to the Republican National Convention,7th Congressional District,Republican,,169,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Alternate Delegate to the Republican National Convention,7th Congressional District,Republican,,228,0,0,,,,,,,,,
2012 General Primary,LANCASTER,Alternate Delegate to the Republican National Convention,7th Congressional District,Republican,,423,0,0,,,,,,,,,
