# Election: 2013 Municipal Election (2013-11-05) - Election ID: 36 - Lancaster County
# Report generated on: 2026-05-29T02:03:46
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2013 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,,0,"29,497","10,125",,,,,,,,,
2013 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,,0,"29,584","9,520",,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,,0,"28,799","9,374",,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,,0,"29,276","8,682",,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,,"30,641",0,0,,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,,"17,973",0,0,,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,,0,"30,747","9,054",,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,,0,"31,315","8,290",,,,,,,,,
2013 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican / Democratic,,"46,145",0,0,,,,,,,,,
