# Election: 2013 Municipal Primary (2013-05-21) - Election ID: 36 - Lancaster County
# Report generated on: 2026-05-29T02:04:07
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2013 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,,"12,932",0,0,,,,,,,,,
2013 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,,"3,061",0,0,,,,,,,,,
2013 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,,"1,566",0,0,,,,,,,,,
2013 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,,"13,153",0,0,,,,,,,,,
2013 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic,,"3,849",0,0,,,,,,,,,
