# Election: 2018 General Election (2018-11-06) - Election ID: 63 - Lancaster County
# Report generated on: 2026-05-29T01:52:16
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2018 General Election,LANCASTER,United States Senator,Statewide,Democratic,BOB CASEY JR,"90,521",0,0,,,,,,,,,
2018 General Election,LANCASTER,United States Senator,Statewide,Republican,LOU BARLETTA,"107,454",0,0,,,,,,,,,
2018 General Election,LANCASTER,United States Senator,Statewide,Green,NEAL GALE,"1,406",0,0,,,,,,,,,
2018 General Election,LANCASTER,United States Senator,Statewide,Libertarian,DALE R KERNS JR,"2,983",0,0,,,,,,,,,
2018 General Election,LANCASTER,Governor,Statewide,Democratic,TOM WOLF,"96,040",0,0,,,,,,,,,
2018 General Election,LANCASTER,Governor,Statewide,Republican,SCOTT R WAGNER,"102,229",0,0,,,,,,,,,
2018 General Election,LANCASTER,Governor,Statewide,Green,PAUL GLOVER,"1,118",0,0,,,,,,,,,
2018 General Election,LANCASTER,Governor,Statewide,Libertarian,KEN V KRAWCHUK,"2,837",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in Congress,11th Congressional District,Democratic,JESS KING,"89,167",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in Congress,11th Congressional District,Republican,LLOYD K SMUCKER,"113,788",0,0,,,,,,,,,
2018 General Election,LANCASTER,Senator in the General Assembly,36th Senatorial District,Democratic,BILL TROUTMAN,"35,280",0,0,,,,,,,,,
2018 General Election,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,RYAN P AUMENT,"69,851",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Democratic,SUE WALKER,345,0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Republican,JOHN LAWRENCE,787,0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Libertarian,DOMINIC J PIROCCHI,7,0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,SUZANNE M DELAHUNT,"6,964",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"18,510",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,MICHELE WHERLEY,"13,173",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,BRETT R MILLER,"16,951",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Democratic,JEN PORTER,"9,448",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,KEITH J GREINER,"15,692",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,MIKE STURLA,"15,318",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,DANA HAMP GULICK,"14,137",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,STEVE MENTZER,"18,469",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,MARY AUKER-ENDRES,"7,477",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,DAVID S HICKERNELL,"14,037",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Libertarian,JAMES M MILLER,539,0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Democratic,ELIZABETH MALARKEY,"5,731",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,DAVE ZIMMERMAN,"14,328",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Democratic,DALE HAMBY,"5,475",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,BRYAN D CUTLER,"14,111",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,128th Legislative District,Democratic,DOUG METCALFE,471,0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,128th Legislative District,Republican,MARK M GILLEN,"1,902",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,129th Legislative District,Democratic,TRISH WERTZ,"1,336",0,0,,,,,,,,,
2018 General Election,LANCASTER,Representative in the General Assembly,129th Legislative District,Republican,JIM COX,"3,214",0,0,,,,,,,,,
