enhanced_file_021125,contrib_note,amount,date_month,date_day,date_year,donor_type,donor_type_detail,pac_pafiler_id,pac_fec_id,pa_entity_no,olms_filer_num,ein,lob_reg,attorney_id,contributor_name_org,stand_contributor_name_org,contributor_name_ind,contributor_name_first,contributor_name_second,contributor_name_last,contributor_name_suffix,joint_contributor_name_first,joint_contributor_name_second,joint_contributor_name_last,joint_contributor_name_suffix,contributor_address_as_submitted,contributor_address_street_num,contributor_address_pre_directional,contributor_address_street_name,contributor_address_street_suffix,contributor_address_post_directional,contributor_address_secondary,contributor_address_po_box_num,contributor_address_city,contributor_address_state,contributor_address_zip_code,contributor_address_zip4,occupation,occupation_standardized,c_suite,employer_name,employer_address_street_num,employer_address_pre_directional,employer_address_street_name,employer_address_street_suffix,employer_address_post_directional,employer_address_secondary_info,employer_address_po_box_num,employer_address_city,employer_address_state,employer_address_zip_code,source_file_name,source_pg_num,schedule,part,created_at,updated_at,report_id
012925_orgcontribs_enhanced_batch041924.csv,,500,10,9,2021,PAC,OTHER,2007224,,,,,,,BETTER PA PAC,BETTER PA PAC,,,,,,,,,,121 STATE STREET,121,,STATE,STREET,,,,HARRISBURG,PA,17101,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,6fb70a6f-2a09-427c-8ba6-55c2d569a7cf
012925_orgcontribs_enhanced_batch041924.csv,,2550,10,25,2018,PAC,CORP,,,,,,,,BRANCH BANKING & TRUST COMPANY,BRANCH BANKING & TRUST COMPANY,,,,,,,,,,200 WILLOW VALLEY LAKES DRIVE,200,,WILLOW VALLEY LAKES,DRIVE,,,,WILLOW STREET,PA,17584,,,,,,,,,,,,,,,,2018_502_24HR_1025_FriendsofJenPorter.pdf,1,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,7c7247f5-f316-4744-bbee-6dc94fdaecb8
012925_orgcontribs_enhanced_batch041924.csv,,500,10,5,2021,PAC,CORP,2004017,,,,,,,BRAVO PAC,BRAVO PAC,,,,,,,,,,20 N. MARKET SQUARE SUITE 800,20,N.,MARKET,SQUARE,,SUITE 800,,HARRISBURG,PA,17101,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,8861ccbe-ebff-48dc-b96b-35f10248380e
012925_orgcontribs_enhanced_batch041924.csv,,250,5,17,2021,PAC,OTHER,20190251,,,,,,,BRIDGE ACROSS PA PAC,BRIDGE ACROSS PA PAC,,,,,,,,,,121 S BROAD ST,121,S,BROAD,ST,,,,PHILADELPHIA,PA,19107,,,,,,,,,,,,,,,,2021_502_cycle3_Friends&FamilyofJanetDiaz.pdf,3,1,A,2024-04-25 18:54:11,2024-04-25 18:54:11,66caf41d-fa81-472c-8420-8aa8039e9bfb
012925_orgcontribs_enhanced_batch041924.csv,,1000,10,30,2021,IND,,,,,,,,,BSI CONSULTING LLC,BSI CONSULTING LLC,,,,,,,,,,735 BIRCH AVENUE,735,,BIRCH,AVENUE,,,,BENSALEM,PA,19020,,SOLE PROPRIETOR,,,BSI CONSULTING LLC,735,,BIRCH,AVENUE,,,,BENSALEM,PA,19020,2021_502_cycle7_FriendsofDaveHickernell.pdf,13,1,D,2024-04-25 18:54:11,2024-04-25 18:54:11,624731f1-e17c-4c72-9bfc-97104598c185
012925_orgcontribs_enhanced_batch041924.csv,,500,10,18,2021,PAC,CORP,9200347,,,,,,,BUCHANAN INGERSOL COMM. FOR EFFECTIVE STATE GOVT.,BUCHANAN INGERSOLL & ROONEY STATE PAC,,,,,,,,,,501 GRANT STREET SUITE 200,501,,GRANT,STREET,,SUITE 200,,PITTSBURGH,PA,15219,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,a02d26aa-eb14-45ba-bb3b-850c58d2a81c
012925_orgcontribs_enhanced_batch041924.csv,,500,5,11,2023,PAC,MCC,20150205,,,,,,,BUILDING A STRONGER PENNSYLVANIA,BUILDING A STRONGER PA,,,,,,,,,,P.O. BOX 194,,,,,,,P.O. BOX 194,LANDISVILLE,PA,17538,,,,,,,,,,,,,,,,2023_502_Cycle10_WilsonforJudge.pdf,1,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,a97c4c29-0bec-415d-a438-63ff720d5e78
012925_orgcontribs_enhanced_batch041924.csv,,500,10,5,2021,PAC,CORP,7900444,,,,,,,CHAMBER PAC,CHAMBER PAC,,,,,,,,,,417 WALNUT STREET,417,,WALNUT,STREET,,,,HARRISBURG,PA,17101,,,,,,,,,,,,,,,,2021_502_cycle7_FriendsofDaveHickernell.pdf,6,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,dd839126-079e-4016-a504-5dc783f98167
012925_orgcontribs_enhanced_batch041924.csv,,2000,5,15,2021,PAC,CPC,9200339,,,,,,,CITIZENS FOR HUGHES,CITIZENS FOR HUGHES,,,,,,,,,,P.O. BOX 13031,,,,,,,P.O. BOX 13031,PHILADELPHIA,PA,19101,,,,,,,,,,,,,,,,2021_24HR_0515_Family&FriendsofJanetDiaz.pdf,1,24-hour report,late_contrib,2024-04-25 18:54:11,2024-04-25 18:54:11,a6ae80eb-225d-4e78-a2cb-014e480e2e29
012925_orgcontribs_enhanced_batch041924.csv,,2000,5,14,2021,PAC,CPC,9200339,,,,,,,CITIZENS FOR HUGHES,CITIZENS FOR HUGHES,,,,,,,,,,P.O. BOX 13031,,,,,,,P.O. BOX 13031,PHILADELPHIA,PA,19101,,,,,,,,,,,,,,,,2021_502_cycle3_Friends&FamilyofJanetDiaz.pdf,5,1,C,2024-04-25 18:54:11,2024-04-25 18:54:11,71f38249-645c-468c-8cb3-ff1549abd5d4
