candidate_name_full,office,governing_district,seat,election_type,date_month,date_day,date_year,party,campaign_position,campaign_fin_records_request,race_notes,scan_notes,cand_name_first,cand_name_middle,cand_name_last,cand_name_suffix,Office_orig_name,Link
ARTHUR MANN SR,SCHOOL DIRECTOR,SCHOOL DISTRICT OF LANCASTER,,Municipal Primary,5,16,2023,REP,challenger,records scanned,"- Five four-year seats are available 
- Five spots for each party 
- Robin Goodson, Kareena Rios and Molly Henderson are incumbents
- Goodson, Rios, Henderson, Holmes and Desmond are endorsed by the Democratic Party 
- Molly Henderson cross-filed 
- Arthur Mann Sr ran as the sole Republican 
- Rios, Holmes, Henderson, Goodson and Desmond won the Democratic nominations 
- Henderson and Arthur Mann Sr won the Republican nomination
",,ARTHUR,,MANN,Sr,SCHOOL DIRECTOR SCHOOL DISTRICT of LANCASTER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/98.html"
ARTURO RENE MUNOZ,SUPERVISOR,EAST HEMPFIELD TOWNSHIP,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,ARTURO,RENE,MUNOZ,,SUPERVISOR EAST HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/317.html"
BARRY CARTER,SUPERVISOR,WEST HEMPFIELD TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,records scanned,,,BARRY,,CARTER,,SUPERVISOR WEST HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/324.html"
BETH WILLIAMS,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.",only one file scanned.,BETH,,WILLIAMS,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/68.html"
BILL BREAULT,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- Bill Brault, Scott Landis and Kimberly Regennas were all considered to be appointed to replace Millard Eppig Jr. on the board in 2022. ",,BILL,,BREAULT,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
BILL MANKIN II,MAGISTERIAL DISTRICT JUDGE,,02-03-04,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,BILL,,MANKIN,II,MAGISTERIAL DISTRICT JUDGE 02-3-04,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/52.html"
BILL MANKIN II,MAGISTERIAL DISTRICT JUDGE,,02-03-04,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,BILL,,MANKIN,II,MAGISTERIAL DISTRICT JUDGE 02-3-04,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/51.html"
BOB HOLLISTER,COUNTY COMMISSIONER,LANCASTER,,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,BOB,,HOLLISTER,,COUNTY COMMISSIONER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/13.html"
BRAD A KROCK,AUDITOR,CAERNARVON TOWNSHIP,4-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,BRAD,A,KROCK,,AUDITOR CAERNARVON - 4 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/216.html"
BRAD CHAMBERS,COUNCIL,COLUMBIA BOROUGH,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,BRAD,,CHAMBERS,,COUNCIL COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/125.html"
BRAD HIGGINS,TAX COLLECTOR,LANCASTER,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,BRAD,,HIGGINS,,TAX COLLECTOR LANCASTER - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/346.html"
BRAD J BYERS,SUPERVISOR,DRUMORE TOWNSHIP,4-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,BRAD,J,BYERS,,SUPERVISOR DRUMORE - 4 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/260.html"
BRADLEY D BOOK,COUNCIL,STRASBURG BOROUGH,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,BRADLEY,D,BOOK,,COUNCIL STRASBURG,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/196.html"
BRADLEY LEAMAN,TAX COLLECTOR,STRASBURG TOWNSHIP,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,BRADLEY,,LEAMAN,,TAX COLLECTOR STRASBURG - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/442.html"
BRANDON S GRAVER,SCHOOL DIRECTOR,PENN MANOR SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,"- One two-year seat available 
- One incumbent, two challengers
- All three candidates Republicans 
- Sweigert Endorsed by Republican Party
- ",,BRANDON,S,GRAVER,,SCHOOL DIRECTOR PENN MANOR - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/90.html"
BRIAN BRAIGHTMEYER,COUNCIL,QUARRYVILLE,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,BRIAN,,BRAIGHTMEYER,,COUNCIL QUARRYVILLE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/190.html"
BRIDE DURKIN-HANNOLD,MAGISTERIAL DISTRICT JUDGE,,02-03-01,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,BRIDE,,DURKIN-HANNOLD,,MAGISTERIAL DISTRICT JUDGE 02-3-01,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/45.html"
BRIDE DURKIN-HANNOLD,MAGISTERIAL DISTRICT JUDGE,,02-03-01,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,BRIDE,,DURKIN-HANNOLD,,MAGISTERIAL DISTRICT JUDGE 02-3-01,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/46.html"
BRITTANY KNIGHTON,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM,challenger,requested and no records on file,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,BRITTANY,,KNIGHTON,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/57.html"
BRYAN NEFT,JUDGE OF THE COMMONWEALTH COURT,,,Municipal Primary,5,16,2023,DEM,open_seat,requested and no records on file,used PA judicial system website & Ballotpedia.,,BRYAN,,NEFT,,JUDGE OF THE COMMONWEALTH COURT,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/9.html"
CALVIN BRACKBILL,SUPERVISOR,MOUNT JOY TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,CALVIN,,BRACKBILL,,SUPERVISOR MT JOY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/378.html"
CARL S HACKMAN JR,SUPERVISOR,RAPHO TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,CARL,S,HACKMAN,Jr,SUPERVISOR RAPHO,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/420.html"
CARL SMUCKER,SUPERVISOR,LEACOCK TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,CARL,,SMUCKER,,SUPERVISOR LEACOCK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/348.html"
CATHERINA CELOSSE,REGISTER OF WILLS,LANCASTER CITY,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,,,CATHERINA,,CELOSSE,,REGISTER OF WILLS,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/23.html"
