candidate_name_full,office,governing_district,seat,election_type,date_month,date_day,date_year,party,campaign_position,campaign_fin_records_request,race_notes,scan_notes,cand_name_first,cand_name_middle,cand_name_last,cand_name_suffix,Office_orig_name,Link
CYNTHIA WINGENROTH,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available
- 13 candidates, 4 Republicans and 9 cross-filers
- Kimberly Regennas, Amanda Chap, Lydia de Ardon, Kelleye McMillion and Cynthia Wingenroth win the Democratic primary

","Candidate sponsored by MCC ""Support Warwick Schools""",CYNTHIA,,WINGENROTH,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/105.html"
CYNTHIA WINGENROTH,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Five four-year seats available
- 13 candidates, 4 Republicans and 9 cross-filers
- Kimberly Regennas, Amanda Chap, Lydia de Ardon, Kelleye McMillion and Cynthia Wingenroth win the Democratic primary

","Candidate sponsored by MCC ""Support Warwick Schools""",CYNTHIA,,WINGENROTH,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
DALE AUNGST,TAX COLLECTOR,WEST DONEGAL,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DALE,,AUNGST,,TAX COLLECTOR WEST DONEGAL - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/256.html"
DANIEL BURTON JR,SUPERVISOR,EAST COCALICO TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,records scanned,,,DANIEL,,BURTON,Jr,SUPERVISOR EAST COCALICO,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/222.html"
DANIEL C WOOLLEY,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- Five four-year seats available
- 11 candidates, 6 cross filed, 5 filed only as Republicans 
- 2 Incumbents: Hentz and Krueger
- Boldizer, Grenter, Henderson, Woodbury and Hentz were all endorsed by the Democratic party 
- Wallace, Adcock, Zimmerman, Burnett, and Krueger were all endorsed by the Republican party
- Vo Wallace, Adcock, Zimmerman, Krueger and Burnett won the Republican primary 
- Woodbury, Hentz, Boldizar, Henderson and Grenter won the Democratic Primary",,DANIEL,C,WOOLLEY,,SCHOOL DIRECTOR WARWICK,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/106.html"
DANIEL GOOD,COUNCIL,MOUNTVILLE BOROUGH,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DANIEL,,GOOD,,COUNCIL MOUNTVILLE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/184.html"
DARREN HUEGEL,AUDITOR,PEQUEA TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DARREN,,HUEGEL,,AUDITOR PEQUEA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/410.html"
DARREN NEFF,AUDITOR,PARADISE TOWNSHIP,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DARREN,,NEFF,,AUDITOR PARADISE - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/396.html"
DAVID BURNETT,SCHOOL DIRECTOR,MANHEIM TOWNSHIP SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,records scanned,"- Five four-year seats available
- 11 candidates, 6 cross filed, 5 filed only as Republicans
- 2 Incumbents: Hentz and Krueger
- Boldizer, Grenter, Henderson, Woodbury and Hentz were all endorsed by the Democratic party
- Wallace, Adcock, Zimmerman, Burnett, and Krueger were all endorsed by the Republican party
- Vo Wallace, Adcock, Zimmerman, Krueger and Burnett won the Republican primary
- Woodbury, Hentz, Boldizar, Henderson and Grenter won the Democratic Primary
","Candidate sponsored by MCC ""MT Excellence in Education""",DAVID,,BURNETT,,SCHOOL DIRECTOR MANHEIM TOWNSHIP,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/82.html"
DAVID G GREINEDER,COUNCIL,MOUNT JOY BOROUGH,FLORIN WARD,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DAVID,G,GREINEDER,,COUNCIL MT JOY - FLORIN WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/178.html"
DAVID LAPP,SUPERVISOR,WEST EARL TOWNSHIP,2-YR,Municipal Primary,5,16,2023,REP,challenger,records scanned,,,DAVID,,LAPP,,SUPERVISOR WEST EARL - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/286.html"
DAVID R BUCKWALTER,TAX COLLECTOR,EAST LAMPETER TOWNSHIP,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DAVID,R,BUCKWALTER,,TAX COLLECTOR EAST LAMPETER - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/334.html"
DAVID YOTHERS,AUDITOR,PARADISE TOWNSHIP,4-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DAVID,,YOTHERS,,AUDITOR PARADISE - 4 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/394.html"
DAWN PATRICK,AUDITOR,WEST LAMPETER TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DAWN,,PATRICK,,AUDITOR WEST LAMPETER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/338.html"
DAYNA LONDON,COUNCIL,LANCASTER CITY,2-YR,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,DAYNA,,LONDON,,COUNCIL LANCASTER CITY - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/111.html"
DEAN MCCOMSEY,SCHOOL DIRECTOR,LAMPETER-STRASBURG SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,"- 5 available seats.
- 3 incumbents, all running in the Republican primary.
- 2 newcomer candidates vying for 2 open seats, all running in the Republican primary.
- All candidates will proceed to the municipal election in November.
- Kari Steinacher filled a vacancy in Oct. 2022 when Scott Arnst resigned.",,DEAN,,MCCOMSEY,,SCHOOL DIRECTOR LAMPETER-STRASBURG,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/76.html"
DELMAR J OBERHOLTZER,SUPERVISOR,MOUNT JOY TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,DELMAR,J,OBERHOLTZER,,SUPERVISOR MT JOY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/378.html"
DERRICK D HILL SR,MAGISTERIAL DISTRICT JUDGE,,02-02-08,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,DERRICK,D,HILL,Sr,MAGISTERIAL DISTRICT JUDGE 02-2-08,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/43.html"
DICK HALL,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Two two-year seats available
- Six candidates, Two Republicans, Four cross-filers,
- Republicans Angie Lingo and Amy Martin win the Republican Primary
- Cyndi Delong and Dick Hall win the Democratic primary
","Candidate sponsored by MCC ""Support Warwick Schools""",DICK,,HALL,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/107.html"
DICK HALL,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- Two two-year seats available
- Six candidates, Two Republicans, Four cross-filers,
- Republicans Angie Lingo and Amy Martin win the Republican Primary
- Cyndi Delong and Dick Hall win the Democratic primary
",,DICK,,HALL,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/108.html"
DOMINIC (NICK) CASTALDI,MAGISTERIAL DISTRICT JUDGE,,02-03-01,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,DOMINIC,NICK,CASTALDI,,MAGISTERIAL DISTRICT JUDGE 02-3-01,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/45.html"
DOMINIC (NICK) CASTALDI,MAGISTERIAL DISTRICT JUDGE,,02-03-01,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,DOMINIC,NICK,CASTALDI,,MAGISTERIAL DISTRICT JUDGE 02-3-01,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/46.html"
DONNA BUSHONG,SUPERVISOR,WEST HEMPFIELD TOWNSHIP,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,DONNA,,BUSHONG,,SUPERVISOR WEST HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/324.html"
DOUG BRUBAKER,AUDITOR,PARADISE TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,"scanned earlier filings for ""Douglas W. Brubaker,"" but I don't know whether this is the same person.",DOUG,,BRUBAKER,,AUDITOR PARADISE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/392.html"
DWIGHT EICHELBERGER,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.","Candidate sponsored by MCC ""Support Etown Schools",DWIGHT,,EICHELBERGER,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/67.html"
DYLAN  M COLEMAN,SUPERVISOR,PARADISE TOWNSHIP,4-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,DYLAN,,M,Coleman,SUPERVISOR PARADISE - 4 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/388.html"
EDWARD C GALLAGHER,SUPERVISOR,EAST LAMPETER TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,EDWARD,C,GALLAGHER,,SUPERVISOR EAST LAMPETER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/330.html"
ERIC D SMUCKER,SCHOOL DIRECTOR,PEQUEA VALLEY SCHOOL DISTRICT,SALISBURY,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,"- One seat available 
- Three candidates, all Republican
- Mike Fisher wins the Republican primary",,ERIC,D,SMUCKER,,SCHOOL DIRECTOR PEQUEA VALLEY - SALISBURY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/96.html"
ERIC M SCHMITT,MAGISTERIAL DISTRICT JUDGE,,02-02-07,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,ERIC,M,SCHMITT,,MAGISTERIAL DISTRICT JUDGE 02-2-07,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/41.html"
ERIC M SCHMITT,MAGISTERIAL DISTRICT JUDGE,,02-02-07,Municipal Primary,5,16,2023,DEM/REP,open_seat,records scanned,,,ERIC,M,SCHMITT,,MAGISTERIAL DISTRICT JUDGE 02-2-07,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/42.html"
ERICA BARE,AUDITOR,LITTLE BRITAIN TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,ERICA,,BARE,,AUDITOR LITTLE BRITAIN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/362.html"
ERIN L SMALL,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.","Candidate sponsored by MCC ""Support Hempfield Schools""",ERIN,L,SMALL,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/73.html"
ERIN L SMALL,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.","Candidate sponsored by MCC ""Support Hempfield Schools""",ERIN,L,SMALL,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/74.html"
FAE SKUYA,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.",,FAE,,SKUYA,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/74.html"
FAE SKUYA,SCHOOL DIRECTOR,HEMPFIELD SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"- 5 available spots per party.
- 4 incumbents, 3 cross-filed and 1 running only in the Republican primary.
- 6 newcomer candidates, 5 cross-filed and 1 running only in the Democratic primary.
- Winners of the Dem primary: Megan L. Eshleman, Judy L. Brady, Erin L. Small, Kaleb Best, and Peter G. Langseth.
- Winners of the Rep primary: Justin Wolgemuth, Grant W. Keener, Patrick Wagner, Dylan T. Bard, and Fae Skuya.
- No candidate who cross-filed won both primaries. All incumbents will proceed to the municipal election in November.
- Hempfield's 2023 school board election is one of several in the county that has heated up due to Christian and alt-right ideology trickling into local school districts from national organizations.",,FAE,,SKUYA,,SCHOOL DIRECTOR HEMPFIELD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/73.html"
FRED THOMAS,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""",,FRED,,THOMAS,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/57.html"
FRED THOMAS,SCHOOL DIRECTOR,COLUMBIA BOROUGH SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- 5 available spots for each party to proceed to the general election.
- 4 incumbents: all cross-filed.
- 6 newcomer candidates: 4 cross-filed, 1 republican, 1 democrat.
- Of 10 candidates, only 1 was knocked in primaries: Brittany Knighton, newcomer and democrat. All incumbents and others will proceed to the municipal election in November.
- Lauren VonStetten, Sandra Duncan, Sonya Duncan, Kathleen Hohenadel, Charles Leader, and Chris Misciagna are candidates of the MCC PAC ""Forward Tide United.""
- Thomas lost in 2019.",,FRED,,THOMAS,,SCHOOL DIRECTOR COLUMBIA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/58.html"
GARY HAMBRIGHT,SCHOOL DIRECTOR,COCALICO SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- ""Of the six candidates running for five four-year school board seats on the Republican ballot in Cocalico School District, Pamela L.K. Blickle, Kevin Eshleman, Juanita Fox, Gary Hambright and Desiree Wagner claimed spots in the general election. Kerry Gable, a cross-filed Democrat, did not earn a Republican nomination but will appear on the November ballot as a Democrat."" LNP, May 2023
- 5 seats, 4 incumbents, 2 newcomers. All candidates will proceed to municipal elections due to Gable's crossfiling.",,GARY,,HAMBRIGHT,,SCHOOL DIRECTOR COCALICO,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/56.html"
GAVIN R GROVE,COUNCIL,AKRON BOROUGH,,Municipal Primary,5,16,2023,DEM,challenger,requested and no records on file,,,GAVIN,R,GROVE,,COUNCIL AKRON,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/119.html"
GERALD D HEILNER II,AUDITOR,MOUNT JOY TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,GERALD,D,HEILNER,II,AUDITOR MT JOY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/380.html"
GREGG MEGLIC,COMMISSIONER,MANHEIM TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,records scanned,,,GREGG,,MEGLIC,,COMMISSIONER MANHEIM TOWNSHIP,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/366.html"
HARRY F SMAIL JR,JUDGE OF THE SUPERIOR COURT,,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,HARRY,F,SMAIL,Jr,JUDGE OF THE SUPERIOR COURT,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/8.html"
IAN J GODINEZ,SCHOOL DIRECTOR,CONESTOGA VALLEY SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM,challenger,records scanned,"- 5 available spots per party to proceed to the municipal election.
- 2 incumbents, both running in the Republican primary.
- 5 newcomer candidates, 3 running in the Republican primary and 2 running in the Democratic primary.
- All candidates will proceed to the municipal election in November.",,IAN,J,GODINEZ,,SCHOOL DIRECTOR CONESTOGA VALLEY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/61.html"
IVAN ACOSTA-VELEZ,COUNCIL,LANCASTER CITY,,Municipal Primary,5,16,2023,DEM,challenger,requested and no records on file,,,IVAN,,ACOSTA-VELEZ,,COUNCIL LANCASTER CITY,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/109.html"
JAMES GILLES,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.",,JAMES,,GILLES,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/67.html"
JAMES GILLES,SCHOOL DIRECTOR,ELIZABETHTOWN AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,DEM/REP,challenger,records scanned,"'- 5 available spots per party to proceed to the municipal election in November.
- 1 incumbent, Karen Sweigart, cross-filed.
- 14 newcomer candidates, 4 running only in the Democratic primary, 2 running only in the Republican primary, and 8 cross-filed.
- Moore, Zhan, Fuddy, Laszakovitz, and Eichelberger won the Republican primary (in that order).
- Gilles, Carter, Riggelman, Shrum, and Wilson won the Democratic primary (in that order).
- No candidates won both party primaries, and incumbent Karen Sweigert was knocked from her seat.
- The Elizabethtown school board is one of many dealing with contentious alt-right ideology.",,JAMES,,GILLES,,SCHOOL DIRECTOR ELIZABETHTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/68.html"
JAMES JOHNSON-NULL,COUNCIL,ADAMSTOWN BOROUGH,,Municipal Primary,5,16,2023,DEM,open_seat,requested and no records on file,,,JAMES,,JOHNSON-NULL,,COUNCIL ADAMSTOWN,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/113.html"
JAMES L KRIEDER,COUNCIL,QUARRYVILLE,2-YR,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JAMES,L,KRIEDER,,COUNCIL QUARRYVILLE - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/192.html"
JAMES P MAY,AUDITOR,ELIZABETH TOWNSHIP,4-YR,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,,,JAMES,P,MAY,,AUDITOR ELIZABETH - 4 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/308.html"
JANET DIAZ,COUNTY COMMISSIONER,LANCASTER,,Municipal Primary,5,16,2023,DEM,open_seat,records scanned,,,JANET,,DIAZ,,COUNTY COMMISSIONER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/13.html"
JARED ZEAMER,COUNCIL,MANHEIM BOROUGH,1ST WARD,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JARED,,ZEAMER,,COUNCIL MANHEIM - 1ST WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/162.html"
JAROD HYNSON,SCHOOL DIRECTOR,EASTERN LANCASTER COUNTY SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- 5 available spots per party to proceed to the municipal election.
- 3 incumbents, all running in the Republican primary.
- 3 newcomer candidates, 2 running in the Republican primary and 1, Sean Reese, running in the Democratic primary.
- All candidates will proceed to the municipal election with one candidate facing an inevitable loss in November.
- Sean Reese ran and lost in 2021.",,JAROD,,HYNSON,,SCHOOL DIRECTOR EASTERN LANCASTER,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/66.html"
JASON BRECKBILL,SCHOOL DIRECTOR,EPHRATA AREA SCHOOL DISTRICT,,Municipal Primary,5,16,2023,REP,challenger,requested and no records on file,"- 5 available spots per party.
- 4 incumbents, all running only in the Republican primary.
- 2 newcomer candidates, Republican Jason Breckbill and Democrat Timothy L. Craven.
- All candidates will proceed to the municipal election in November.
- Tim Craven is a former board member, according to LNP Archives.",,JASON,,BRECKBILL,,SCHOOL DIRECTOR EPHRATA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/70.html"
JEFF VANCE,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- Two two-year seats were open 
- Two spots per party 
- 4 candidates cross-filed 
- 2 candidates running as Republican 
- Lisa Miller is the only incumbent 
- Dick Hall and Cyndi Delong were endorsed by the Democratic Party 
- Angie Lingo and Amy Martin were endorsed by the Republican Party 
- Hall and Long won the Democratic nomination 
- Martin and Lingo won the Republican nomination 
",,JEFF,,VANCE,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/107.html"
JEFF VANCE,SCHOOL DIRECTOR,WARWICK SCHOOL DISTRICT,2-YR,Municipal Primary,5,16,2023,DEM/REP,challenger,requested and no records on file,"- Two two-year seats were open 
- Two spots per party 
- 4 candidates cross-filed 
- 2 candidates running as Republican 
- Lisa Miller is the only incumbent 
- Dick Hall and Cyndi Delong were endorsed by the Democratic Party 
- Angie Lingo and Amy Martin were endorsed by the Republican Party 
- Hall and Long won the Democratic nomination 
- Martin and Lingo won the Republican nomination 
",,JEFF,,VANCE,,SCHOOL DIRECTOR WARWICK - 2 YR,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/108.html"
JEFFREY KREIDER,SUPERVISOR,PEQUEA TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,records scanned,,,JEFF,,KREIDER,,SUPERVISOR PEQUEA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/408.html"
JEFFREY W RAMBISH,COUNCIL,MILLERSVILLE BOROUGH,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JEFFREY,W,RAMBISH,,COUNCIL MILLERSVILLE,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/172.html"
JEFFREY WINTERBORNE,COUNCIL,ELIZABETHTOWN BOROUGH,3RD WARD,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JEFFREY,,WINTERBORNE,,COUNCIL ELIZABETHTOWN - 3RD WARD,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/142.html"
JEREMY ESHLEMAN,SUPERVISOR,CONESTOGA TOWNSHIP,,Municipal Primary,5,16,2023,REP,open_seat,requested and no records on file,,,JEREMY,,ESHLEMAN,,SUPERVISOR CONESTOGA,"https://vr.co.lancaster.pa.us/ElectionReturns/May_16,_2023_-_Municipal_Primary/234.html"
