# Election: 2017 Municipal Election (2017-11-07) - Election ID: 59 - Lancaster County
# Report generated on: 2026-05-29T01:56:26
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2017 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,DEBRA TODD,0,"40,614","14,574",,,,,,,,,
2017 Municipal Election,LANCASTER,Justice of the Supreme Court (Retention),Statewide,,THOMAS G SAYLOR,0,"40,803","15,356",,,,,,,,,
2017 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,DWAYNE WOODRUFF,"24,120",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Republican,SALLIE MUNDY,"45,345",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,JACQUELINE O SHOGAN,0,"39,058","15,293",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,MARIA MCLAUGHLIN,"26,687",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,CAROLYN H NICHOLS,"24,475",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,DEBBIE KUNSELMAN,"26,320",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,GEOFF MOULTON,"21,050",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,CRAIG STEDMAN,"47,367",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,EMIL GIORDANO,"35,719",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,WADE A KAGARISE,"35,477",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,MARY MURRAY,"36,525",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Green,JULES MERMELSTEIN,"2,934",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,ELLEN CEISLER,"25,522",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,IRENE M CLARK,"24,807",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,PAUL LALLEY,"38,655",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,CHRISTINE FIZZANO CANNON,"41,742",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,CHRISTOPHER A HACKMAN,0,"38,101","15,612",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,DONALD R TOTARO,0,"38,913","15,605",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,HOWARD F KNISELY,0,"38,043","15,706",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,JEFFERY D WRIGHT,0,"39,354","14,849",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,JEFFREY J REICH,0,"37,805","15,802",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,MARGARET C MILLER,0,"39,698","14,356",,,,,,,,,
2017 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic / Republican,JEFF CONRAD,"65,006",0,0,,,,,,,,,
2017 Municipal Election,LANCASTER,PROPOSED CONSTITUTIONAL AMENDMENT AMENDING THE HOMESTEAD PROPERTY TAX ASSESSMENT EXCLUSION,,,,0,"37,724","23,810",0,,,0,,,0,,
