# Election: 2016 Presidential Primary (2016-04-26) - Election ID: 54 - Lancaster County
# Report generated on: 2026-05-29T02:00:55
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Democratic,HILLARY CLINTON,"19,840",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Democratic,BERNIE SANDERS,"21,321",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Democratic,ROQUE ROCKY DE LA FUENTE,197,0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,TED CRUZ,"27,470",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,MARCO RUBIO,580,0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,JEB BUSH,568,0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,BEN CARSON,"1,292",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,JOHN R KASICH,"18,766",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"38,257",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,United States Senator,Statewide,Democratic,JOSEPH J VODVARKA,16,0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,United States Senator,Statewide,Democratic,JOHN FETTERMAN,"6,522",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,United States Senator,Statewide,Democratic,JOE SESTAK,"11,996",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,United States Senator,Statewide,Democratic,KATIE MCGINTY,"21,376",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,United States Senator,Statewide,Republican,PAT TOOMEY,"77,456",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,JOHN MORGANELLI,"6,376",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,JOSH SHAPIRO,"22,530",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,Attorney General,Statewide,Democratic,STEPHEN A ZAPPALA JR,"8,504",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,Attorney General,Statewide,Republican,JOE PETERS,"30,427",0,0,,,,,,,,,
2016 Presidential Primary,LANCASTER,Attorney General,Statewide,Republican,JOHN RAFFERTY,"41,856",0,0,,,,,,,,,
