# Election: 2021 Municipal Election (2021-11-02) - Election ID: 84 - Lancaster County
# Report generated on: 2026-05-29T00:41:49
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2021 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,MARIA MCLAUGHLIN,"41,649",0,0,"24,084",0,0,"17,414",0,0,151,0,0
2021 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Republican,KEVIN BROBSON,"68,006",0,0,"61,220",0,0,"6,679",0,0,107,0,0
2021 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,JOHN T BENDER,0,"69,933","26,608",0,"56,655","18,339",0,"13,144","8,196",0,134,73
2021 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,MARY JANE BOWES,0,"70,021","25,723",0,"56,065","18,112",0,"13,817","7,545",0,139,66
2021 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,TIMIKA LANE,"39,816",0,0,"22,878",0,0,"16,791",0,0,147,0,0
2021 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,MEGAN SULLIVAN,"69,563",0,0,"62,226",0,0,"7,225",0,0,112,0,0
2021 Municipal Election,LANCASTER,Judge of the Commonwealth Court (Retention),Statewide,,ANNE COVEY,0,"68,948","26,671",0,"56,205","17,880",0,"12,602","8,727",0,141,64
2021 Municipal Election,LANCASTER,Judge of the Commonwealth Court (Retention),Statewide,,RENEE COHN JUBELIRER,0,"69,011","26,367",0,"55,157","18,681",0,"13,723","7,613",0,131,73
2021 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,LORI A DUMAS,"40,276",0,0,"23,093",0,0,"17,033",0,0,150,0,0
2021 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,DAVID LEE SPURGEON,"35,866",0,0,"20,210",0,0,"15,535",0,0,121,0,0
2021 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,STACY MARIE WALLACE,"65,252",0,0,"58,314",0,0,"6,831",0,0,107,0,0
2021 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,DREW CROMPTON,"62,653",0,0,"56,257",0,0,"6,310",0,0,86,0,0
2021 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,LEONARD G BROWN III,0,"70,158","25,776",0,"56,230","18,073",0,"13,789","7,638",0,139,65
2021 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic / Republican,JOANNE MURPHY,"86,237",0,0,"65,952",0,0,"20,082",0,0,203,0,0
