# Election: 2019 Municipal Primary  (2019-05-21) - Election ID: 72 - Lancaster County
# Report generated on: 2026-05-29T00:57:48
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2019 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,BETH TARASI,"5,297",0,0,,,,,,,,,
2019 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,DANIEL D MCCAFFERY,"6,801",0,0,,,,,,,,,
2019 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,AMANDA GREEN-HAWKINS,"8,349",0,0,,,,,,,,,
2019 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,REBECCA WARREN,"10,346",0,0,,,,,,,,,
2019 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,MEGAN MCCARTHY KING,"17,111",0,0,,,,,,,,,
2019 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,CHRISTYLEE PECK,"15,143",0,0,,,,,,,,,
2019 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,CRAIG W STEDMAN,"23,424",0,0,,,,,,,,,
