# Election: 2021 Municipal Primary (2021-05-18) - Election ID: 84 - Lancaster County
# Report generated on: 2026-05-29T00:42:19
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2021 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,MARIA MCLAUGHLIN,"25,127",0,0,"14,835",0,0,"10,150",0,0,142,0,0
2021 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,PAULA PATRICK,"8,286",0,0,"7,448",0,0,817,0,0,21,0,0
2021 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,KEVIN BROBSON,"38,156",0,0,"34,266",0,0,"3,810",0,0,80,0,0
2021 Municipal Primary,LANCASTER,Justice of the Supreme Court,Statewide,Republican,PATRICIA A MCCULLOUGH,"10,828",0,0,"10,019",0,0,794,0,0,15,0,0
2021 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,JILL BECK,"8,691",0,0,"4,553",0,0,"4,093",0,0,45,0,0
2021 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,TIMIKA LANE,"13,767",0,0,"8,637",0,0,"5,044",0,0,86,0,0
2021 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Democratic,BRYAN NEFT,"2,240",0,0,"1,357",0,0,874,0,0,9,0,0
2021 Municipal Primary,LANCASTER,Judge of the Superior Court,Statewide,Republican,MEGAN SULLIVAN,"55,347",0,0,"50,025",0,0,"5,213",0,0,109,0,0
2021 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,DAVID LEE SPURGEON,"9,381",0,0,"5,274",0,0,"4,057",0,0,50,0,0
2021 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,LORI A DUMAS,"12,803",0,0,"6,938",0,0,"5,800",0,0,65,0,0
2021 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,SIERRA STREET,"8,730",0,0,"5,152",0,0,"3,525",0,0,53,0,0
2021 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,AMANDA GREEN HAWKINS,"12,669",0,0,"7,661",0,0,"4,932",0,0,76,0,0
2021 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,DREW CROMPTON,"46,905",0,0,"42,195",0,0,"4,621",0,0,89,0,0
2021 Municipal Primary,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,STACY MARIE WALLACE,"41,919",0,0,"37,341",0,0,"4,501",0,0,77,0,0
2021 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic,JOANNE MURPHY,"23,117",0,0,"13,443",0,0,"9,552",0,0,122,0,0
2021 Municipal Primary,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,JOANNE MURPHY,"54,853",0,0,"49,514",0,0,"5,232",0,0,107,0,0
2021 Municipal Primary,LANCASTER,PROPOSED CONSTITUTIONAL AMENDMENT 1 TERMINATION OR EXTENSION OF DISASTER EMERGENCY DECLARATION,,,,0,"62,088","32,856",0,"56,929","19,860",0,"5,037","12,825",0,122,171
2021 Municipal Primary,LANCASTER,PROPOSED CONSTITUTIONAL AMENDMENT 2 DISASTER EMERGENCY DECLARATION AND MANAGEMENT,,,,0,"62,759","32,423",0,"57,626","19,402",0,"5,016","12,846",0,117,175
2021 Municipal Primary,LANCASTER,PROPOSED CONSTITUTIONAL AMENDMENT 3 PROHIBITION AGAINST DENIAL OR ABRIDGEMENT OF EQUALITY OF RIGHTS BECAUSE OF RACE OR ETHNICITY,,,,0,"64,031","30,095",0,"47,612","28,392",0,"16,183","1,645",0,236,58
2021 Municipal Primary,LANCASTER,STATEWIDE REFERENDUM-ACT 2020-91,,,,0,"61,108","31,743",0,"46,434","29,790",0,"14,449","1,891",0,225,62
