# Election: 2022 General Election (2022-11-08) - Election ID: 94 - Lancaster County
# Report generated on: 2026-05-28T04:34:57
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2022 General Election,LANCASTER,United States Senator,Statewide,Democratic,JOHN FETTERMAN,"94,632",0,0,"64,299",0,0,"29,635",0,0,698,0,0
2022 General Election,LANCASTER,United States Senator,Statewide,Republican,MEHMET OZ,"124,798",0,0,"114,301",0,0,"10,122",0,0,375,0,0
2022 General Election,LANCASTER,United States Senator,Statewide,Libertarian,ERIK GERHARDT,"3,272",0,0,"2,724",0,0,528,0,0,20,0,0
2022 General Election,LANCASTER,United States Senator,Statewide,Green Party,RICHARD L WEISS,"1,147",0,0,852,0,0,290,0,0,5,0,0
2022 General Election,LANCASTER,United States Senator,Statewide,Keystone,DANIEL WASSMER,699,0,0,545,0,0,150,0,0,4,0,0
2022 General Election,LANCASTER,Governor,Statewide,Democratic,JOSH SHAPIRO,"108,233",0,0,"75,329",0,0,"32,175",0,0,729,0,0
2022 General Election,LANCASTER,Governor,Statewide,Republican,DOUGLAS V MASTRIANO,"112,040",0,0,"103,834",0,0,"7,862",0,0,344,0,0
2022 General Election,LANCASTER,Governor,Statewide,Libertarian,MATT HACKENBURG,"2,530",0,0,"2,196",0,0,318,0,0,16,0,0
2022 General Election,LANCASTER,Governor,Statewide,Green Party,CHRISTINA DIGIULIO,740,0,0,559,0,0,170,0,0,11,0,0
2022 General Election,LANCASTER,Governor,Statewide,Keystone,JOE SOLOSKI,725,0,0,597,0,0,126,0,0,2,0,0
2022 General Election,LANCASTER,Representative in Congress,11th Congressional District,Democratic,BOB HOLLISTER,"92,466",0,0,"62,096",0,0,"29,700",0,0,670,0,0
2022 General Election,LANCASTER,Representative in Congress,11th Congressional District,Republican,LLOYD K SMUCKER,"131,511",0,0,"120,085",0,0,"11,009",0,0,417,0,0
2022 General Election,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,RYAN P AUMENT,"91,710",0,0,"78,987",0,0,"12,402",0,0,321,0,0
2022 General Election,LANCASTER,Senator in the General Assembly,48th Senatorial District,Democratic,CALVIN CLEMENTS,"3,948",0,0,"2,511",0,0,"1,419",0,0,18,0,0
2022 General Election,LANCASTER,Senator in the General Assembly,48th Senatorial District,Republican,CHRIS GEBHARD,"11,524",0,0,"10,738",0,0,768,0,0,18,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"25,535",0,0,"22,160",0,0,"3,313",0,0,62,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,BRETT R MILLER,"18,402",0,0,"15,935",0,0,"2,413",0,0,54,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Libertarian,FAVYAN ASIA,"6,105",0,0,"4,307",0,0,"1,754",0,0,44,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,KEITH J GREINER,"18,511",0,0,"16,268",0,0,"2,198",0,0,45,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,49th Legislative District,Democratic,IZZY SMITH-WADE-EL,"11,045",0,0,"8,049",0,0,"2,889",0,0,107,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,49th Legislative District,Republican,ANNE RIVERS,"5,511",0,0,"4,909",0,0,584,0,0,18,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,MIKE STURLA,"17,250",0,0,"12,362",0,0,"4,755",0,0,133,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Republican,APRIL WEAVER,"10,988",0,0,"9,706",0,0,"1,236",0,0,46,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,STEVE MENTZER,"23,282",0,0,"19,848",0,0,"3,358",0,0,76,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,MARK TEMONS,"8,570",0,0,"5,744",0,0,"2,775",0,0,51,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,TOM JONES,"15,060",0,0,"13,767",0,0,"1,258",0,0,35,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Libertarian,JOSH GERBER,771,0,0,653,0,0,115,0,0,3,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Democratic,JOSHUA CALTAGIRONE,"4,177",0,0,"2,762",0,0,"1,397",0,0,18,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,DAVE ZIMMERMAN,"13,538",0,0,"12,644",0,0,870,0,0,24,0,0
2022 General Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,BRYAN D CUTLER,"18,356",0,0,"16,528",0,0,"1,783",0,0,45,0,0
