# Election: 2023 Municipal Election (2023-11-07) - Election ID: 100 - Lancaster County
# Report generated on: 2026-05-28T04:30:00
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2023 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Democratic,DANIEL MCCAFFERY,"54,317",0,0,"35,601",0,0,"18,435",0,0,281,0,0
2023 Municipal Election,LANCASTER,Justice of the Supreme Court,Statewide,Republican,CAROLYN CARLUCCIO,"68,678",0,0,"61,875",0,0,"6,687",0,0,116,0,0
2023 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,JACK PANELLA,0,"71,051","38,089",0,"52,479","33,764",0,"18,326","4,232",0,246,93
2023 Municipal Election,LANCASTER,Judge of the Superior Court (Retention),Statewide,,VICTOR P STABILE,0,"72,342","35,155",0,"59,124","26,099",0,"13,010","8,930",0,208,126
2023 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,JILL BECK,"53,324",0,0,"34,531",0,0,"18,522",0,0,271,0,0
2023 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Democratic,TIMIKA LANE,"49,109",0,0,"31,561",0,0,"17,284",0,0,264,0,0
2023 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,MARIA BATTISTA,"65,683",0,0,"59,524",0,0,"6,055",0,0,104,0,0
2023 Municipal Election,LANCASTER,Judge of the Superior Court,Statewide,Republican,HARRY F SMAIL JR,"62,095",0,0,"56,304",0,0,"5,693",0,0,98,0,0
2023 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Democratic,MATT WOLF,"53,548",0,0,"34,559",0,0,"18,708",0,0,281,0,0
2023 Municipal Election,LANCASTER,Judge of the Commonwealth Court,Statewide,Republican,MEGAN MARTIN,"69,073",0,0,"62,566",0,0,"6,391",0,0,116,0,0
2023 Municipal Election,LANCASTER,Judge of the Court of Common Pleas (Retention),2nd Judicial District (Lancaster County),,MERRILL M SPAHN JR,0,"78,441","30,699",0,"61,929","24,567",0,"16,274","6,042",0,238,90
2023 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Democratic,KAREN L MAISANO,"58,623",0,0,"39,555",0,0,"18,782",0,0,286,0,0
2023 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,TODD BROWN,"65,742",0,0,"57,472",0,0,"8,159",0,0,111,0,0
2023 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,CHRISTINA PARSONS,"65,497",0,0,"57,680",0,0,"7,708",0,0,109,0,0
2023 Municipal Election,LANCASTER,Judge of the Court of Common Pleas,2nd Judicial District (Lancaster County),Republican,SHAWN P MCLAUGHLIN,"64,457",0,0,"56,962",0,0,"7,387",0,0,108,0,0
