# Election: 2016 Presidential Election (2016-11-08) - Election ID: 54 - Lancaster County
# Report generated on: 2026-05-29T02:00:38
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2016 Presidential Election,LANCASTER,President of the United States,Statewide,Democratic,HILLARY CLINTON,"91,093",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,President of the United States,Statewide,Republican,DONALD J TRUMP,"137,914",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,President of the United States,Statewide,Constitution Party,DARRELL L CASTLE,"1,529",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,President of the United States,Statewide,Green,JILL STEIN,"2,021",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,President of the United States,Statewide,Libertarian,GARY JOHNSON,"8,555",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,United States Senator,Statewide,Democratic,KATIE MCGINTY,"89,922",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,United States Senator,Statewide,Republican,PAT TOOMEY,"142,774",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,United States Senator,Statewide,Libertarian,EDWARD T CLIFFORD III,"9,909",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Attorney General,Statewide,Democratic,JOSH SHAPIRO,"92,112",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Attorney General,Statewide,Republican,JOHN RAFFERTY,"146,289",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Auditor General,Statewide,Democratic,EUGENE A DEPASQUALE,"89,401",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Auditor General,Statewide,Republican,JOHN BROWN,"133,936",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Auditor General,Statewide,Green,JOHN J SWEENEY,"7,465",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Auditor General,Statewide,Libertarian,ROY A MINET,"7,453",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,State Treasurer,Statewide,Democratic,JOE TORSELLA,"86,810",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,State Treasurer,Statewide,Republican,OTTO VOIT,"134,280",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,State Treasurer,Statewide,Green,KRISTIN COMBS,"8,923",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,State Treasurer,Statewide,Libertarian,JAMES BABB,"7,489",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in Congress,7th Congressional District,Democratic,MARY ELLEN BALCHUNIS,"1,900",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in Congress,7th Congressional District,Republican,PATRICK L MEEHAN,"7,340",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in Congress,16th Congressional District,Democratic,CHRISTINA HARTMAN,"86,203",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in Congress,16th Congressional District,Republican,LLOYD K SMUCKER,"137,903",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in Congress,16th Congressional District,Libertarian,SHAWN PATRICK HOUSE,"7,926",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Democratic,GREG PAULSON,"48,476",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Senator in the General Assembly,13th Senatorial District,Republican,SCOTT MARTIN,"66,595",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Democratic,NANCY DEAN,389,0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,13th Legislative District,Republican,JOHN LAWRENCE,960,0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,MINDY FEE,"25,672",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,NICK SELCH,"13,227",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,BRETT R MILLER,"21,537",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Democratic,STEVE ELLIOTT,"9,649",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,KEITH J GREINER,"19,557",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,MIKE STURLA,"17,340",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,96th Legislative District,Republican,ROBERT BIGLEY,"6,332",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,CHARLES KLEIN,"13,403",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,STEVE MENTZER,"22,952",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,DAVID S HICKERNELL,"21,519",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Democratic,DUANE GROFF,"6,219",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,DAVID ZIMMERMAN,"17,945",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Democratic,DALE HAMBY,"6,140",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,BRYAN D CUTLER,"17,416",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,128th Legislative District,Republican,MARK M GILLEN,"2,457",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,Representative in the General Assembly,129th Legislative District,Republican,JIM COX,"4,632",0,0,,,,,,,,,
2016 Presidential Election,LANCASTER,PROPOSED CONSTITUTIONAL AMENDMENT AMENDING THE MANDATORY JUDICIAL RETIREMENT AGE,,,,0,"105,018","112,402",0,,,0,,,0,,
