# Election: 2014 General Primary (2014-05-20) - Election ID: 41 - Lancaster County
# Report generated on: 2026-05-29T02:02:47
Election Name,County Name,Office Name,District Name,Party Name,Candidate Name,Votes,Yes Votes,No Votes,Election Day Votes,ElectionDay Yes Votes,Election Day No Votes,Mail Votes,Mail Yes Votes,Mail No Votes,Provisional Votes,Provisional Yes Votes,Provisional No Votes
2014 General Primary,LANCASTER,Governor,Statewide,Republican,,"21,306",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Governor,Statewide,Democratic,,"11,972",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Governor,Statewide,Democratic,,"1,850",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Governor,Statewide,Democratic,,"1,345",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Governor,Statewide,Democratic,,"1,880",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Lieutenant Governor,Statewide,Republican,,"21,778",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,,"6,686",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,,888,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,,"1,741",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,,765,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Lieutenant Governor,Statewide,Democratic,,"5,141",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in Congress,7th Congressional District,Republican,,800,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in Congress,7th Congressional District,Democratic,,354,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in Congress,16th Congressional District,Republican,,"21,597",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in Congress,16th Congressional District,Democratic,,"6,949",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in Congress,16th Congressional District,Democratic,,"8,713",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,,"10,187",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Republican,,"6,381",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Senator in the General Assembly,36th Senatorial District,Democratic,,"7,045",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,13th Legislative District,Republican,,102,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,13th Legislative District,Democratic,,63,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Republican,,"3,452",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,37th Legislative District,Democratic,,"1,374",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,41st Legislative District,Republican,,"3,425",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,41st Legislative District,Democratic,,"2,806",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,43rd Legislative District,Republican,,"2,481",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,96th Legislative District,Democratic,,"2,189",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,97th Legislative District,Republican,,"3,601",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,97th Legislative District,Democratic,,"2,593",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,98th Legislative District,Republican,,"2,942",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,,859,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,98th Legislative District,Democratic,,"1,085",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,99th Legislative District,Republican,,"3,091",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,99th Legislative District,Democratic,,"1,090",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,100th Legislative District,Republican,,"2,030",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,128th Legislative District,Republican,,362,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Representative in the General Assembly,129th Legislative District,Republican,,579,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"15,082",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,812",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,655",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,476",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"16,709",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,088",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,483",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,302",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"13,920",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,320",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,674",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"15,417",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,695",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County Excluding City of Lancaster (District 36),Republican,,"14,414",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Republican State Committee,Lancaster County City of Lancaster (District 136),Republican,,637,0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"11,464",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"10,481",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"10,637",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"6,762",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"10,902",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"5,831",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"10,922",0,0,,,,,,,,,
2014 General Primary,LANCASTER,Member of Democratic State Committee,Lancaster County (District 36),Democratic,,"8,977",0,0,,,,,,,,,
